,order_id,order_date,ship_date,ship_mode,customer_id
2758,CA-2013-146171,2013-03-12,2013-03-16,Standard Class,JP-16135
2760,CA-2011-129574,2011-05-26,2011-05-29,First Class,Dp-13240
2761,CA-2014-126536,2014-10-13,2014-10-15,First Class,NK-18490
2763,CA-2014-165757,2014-06-23,2014-06-29,Standard Class,PL-18925
2766,CA-2014-167752,2014-01-16,2014-01-19,First Class,RW-19690
2768,US-2012-122140,2012-04-02,2012-04-07,Standard Class,MO-17950
2771,CA-2013-163986,2013-09-04,2013-09-11,Standard Class,JJ-15445
2772,CA-2014-158967,2014-12-11,2014-12-13,First Class,BT-11680
2773,CA-2013-131576,2013-11-23,2013-11-27,Standard Class,RD-19585
2774,CA-2014-143455,2014-11-12,2014-11-19,Standard Class,ML-17755
2775,CA-2013-144729,2013-10-22,2013-10-26,Standard Class,JE-15745
2776,CA-2012-127019,2012-12-21,2012-12-25,Standard Class,ER-13855
2777,CA-2012-138534,2012-07-17,2012-07-19,Second Class,JM-15535
2778,CA-2014-108322,2014-05-01,2014-05-06,Standard Class,SS-20140
2780,CA-2014-167668,2014-05-07,2014-05-09,First Class,TC-21295
2781,CA-2014-146724,2014-11-21,2014-11-28,Standard Class,HG-15025
2782,CA-2013-139878,2013-11-12,2013-11-17,Standard Class,LD-17005
2783,US-2013-106677,2013-11-06,2013-11-11,Standard Class,AS-10285
2784,CA-2013-116974,2013-10-10,2013-10-16,Standard Class,MP-17965
2785,CA-2012-149972,2012-09-21,2012-09-23,First Class,CD-12790
2787,US-2011-117744,2011-12-02,2011-12-06,Standard Class,MD-17860
2790,CA-2011-125514,2011-09-21,2011-09-22,First Class,BM-11650
2793,CA-2011-154599,2011-04-12,2011-04-17,Standard Class,KN-16450
2797,CA-2014-158743,2014-10-21,2014-10-28,Standard Class,IG-15085
2800,CA-2013-153318,2013-10-26,2013-10-29,First Class,JS-15595
2801,US-2012-110163,2012-11-01,2012-11-04,First Class,GA-14725
2802,CA-2014-143329,2014-11-04,2014-11-09,Standard Class,DL-13330
2803,CA-2012-159380,2012-05-12,2012-05-16,Standard Class,CS-12505
2805,CA-2012-122623,2012-09-07,2012-09-11,Standard Class,CC-12145
2806,CA-2012-148635,2012-07-25,2012-07-27,Second Class,MH-18025
2810,CA-2012-135685,2012-11-16,2012-11-18,Second Class,MP-18175
2815,CA-2012-104626,2012-09-01,2012-09-08,Standard Class,DR-12940
2819,CA-2013-160500,2013-05-06,2013-05-09,First Class,DM-13015
2821,CA-2014-100202,2014-01-01,2014-01-06,Standard Class,BD-11620
2822,CA-2014-131016,2014-09-19,2014-09-21,First Class,DC-12850
2824,US-2011-112914,2011-09-25,2011-09-30,Standard Class,MT-18070
2828,CA-2013-124149,2013-04-24,2013-04-27,First Class,MJ-17740
2831,CA-2011-148915,2011-11-01,2011-11-05,Standard Class,ND-18370
2833,CA-2014-134649,2014-01-27,2014-02-01,Second Class,CA-11965
2835,CA-2014-110842,2014-11-12,2014-11-17,Standard Class,GA-14725
2838,CA-2013-147368,2013-06-10,2013-06-13,First Class,TC-21295
2839,US-2012-104185,2012-09-03,2012-09-08,Second Class,JB-15400
2840,US-2011-125521,2011-03-14,2011-03-19,Standard Class,CK-12325
2841,US-2014-135062,2014-09-01,2014-09-05,Second Class,RL-19615
2842,CA-2014-135650,2014-03-24,2014-03-28,Standard Class,AC-10660
2843,CA-2014-112865,2014-05-19,2014-05-23,Standard Class,BH-11710
2844,US-2013-162852,2013-12-28,2014-01-01,Standard Class,BG-11695
2845,CA-2014-138163,2014-11-18,2014-11-21,First Class,XP-21865
2846,CA-2014-152093,2014-09-11,2014-09-16,Standard Class,SN-20560
2847,CA-2014-157854,2014-04-09,2014-04-16,Standard Class,DM-13345
2849,CA-2013-123617,2013-11-29,2013-12-04,Standard Class,AJ-10780
2850,US-2013-128293,2013-06-03,2013-06-06,First Class,KC-16255
2851,CA-2014-107342,2014-12-18,2014-12-23,Standard Class,VF-21715
2852,CA-2013-136371,2013-03-20,2013-03-22,Second Class,SV-20935
2854,CA-2014-137344,2014-08-21,2014-08-21,Same Day,EM-13810
2855,CA-2014-169810,2014-07-26,2014-08-01,Standard Class,RB-19360
2856,CA-2013-128594,2013-08-27,2013-08-30,First Class,DJ-13510
2857,CA-2013-154690,2013-08-16,2013-08-18,Second Class,CC-12370
2858,CA-2014-138975,2014-05-20,2014-05-24,Standard Class,SC-20380
2862,CA-2014-106537,2014-08-13,2014-08-18,Standard Class,RH-19495
2863,US-2014-103828,2014-08-14,2014-08-14,Same Day,JK-15370
2867,CA-2013-115588,2013-11-11,2013-11-13,Second Class,AF-10885
2869,CA-2014-143861,2014-06-13,2014-06-20,Standard Class,LC-16885
2870,CA-2011-148040,2011-03-22,2011-03-26,Standard Class,BF-11275
2872,CA-2014-135167,2014-06-16,2014-06-21,Standard Class,SC-20800
2873,CA-2014-137022,2014-11-17,2014-11-23,Standard Class,SW-20275
2874,US-2014-102638,2014-12-30,2015-01-01,First Class,MC-17845
2875,US-2013-167339,2013-01-21,2013-01-23,Second Class,TD-20995
2877,CA-2013-152072,2013-01-15,2013-01-19,Standard Class,Dp-13240
2880,CA-2013-102932,2013-09-20,2013-09-24,Second Class,SD-20485
2882,CA-2011-165540,2011-02-22,2011-02-26,Standard Class,TM-21010
2883,CA-2013-130799,2013-11-12,2013-11-17,Second Class,BK-11260
2884,CA-2013-164483,2013-01-30,2013-02-03,Standard Class,JF-15490
2885,US-2013-159856,2013-10-19,2013-10-23,Standard Class,EP-13915
2886,CA-2014-102099,2014-12-19,2014-12-20,First Class,EP-13915
2889,CA-2014-164049,2014-11-03,2014-11-07,Standard Class,KH-16630
2890,CA-2011-142727,2011-04-29,2011-05-01,Second Class,HG-14845
2892,CA-2014-139913,2014-10-24,2014-10-30,Standard Class,JC-16105
2896,CA-2011-169033,2011-03-30,2011-04-03,Standard Class,KM-16720
2897,US-2013-164630,2013-01-04,2013-01-09,Standard Class,EB-13975
2898,US-2012-114839,2012-04-26,2012-04-30,Standard Class,PW-19240
2899,CA-2012-166464,2012-09-12,2012-09-17,Standard Class,PG-18895
2901,CA-2014-124898,2014-09-12,2014-09-16,Standard Class,DB-12910
2902,CA-2013-164035,2013-06-13,2013-06-18,Standard Class,CR-12730
2903,CA-2013-153577,2013-06-28,2013-07-02,Standard Class,KH-16330
2905,CA-2011-127586,2011-09-26,2011-09-30,Standard Class,CS-12400
2906,CA-2014-121615,2014-11-04,2014-11-10,Standard Class,DL-12925
2909,CA-2014-166415,2014-02-20,2014-02-24,Standard Class,ME-17725
2910,CA-2012-118444,2012-11-05,2012-11-09,Standard Class,VD-21670
2911,CA-2011-113929,2011-06-16,2011-06-21,Standard Class,CK-12205
2914,CA-2012-134747,2012-10-12,2012-10-17,Second Class,DL-12925
2917,CA-2014-155047,2014-08-28,2014-08-31,First Class,SE-20110
2918,CA-2013-160129,2013-11-24,2013-11-24,Same Day,LS-17200
2921,CA-2014-164329,2014-01-31,2014-01-31,Same Day,MM-17920
2922,US-2012-141453,2012-11-30,2012-12-03,Second Class,DB-13270
2923,CA-2011-156993,2011-06-28,2011-07-04,Standard Class,RW-19630
2924,CA-2011-157721,2011-09-02,2011-09-05,First Class,JM-16195
2926,CA-2014-128629,2014-07-11,2014-07-15,Second Class,BP-11155
2927,CA-2014-158106,2014-06-05,2014-06-11,Standard Class,CT-11995
2928,US-2014-120390,2014-10-20,2014-10-27,Standard Class,TH-21550
2929,CA-2014-143434,2014-11-19,2014-11-25,Standard Class,ME-17320
2930,CA-2012-168564,2012-08-08,2012-08-08,Same Day,TT-21220
2933,US-2013-169040,2013-12-07,2013-12-13,Standard Class,GT-14710
2940,CA-2014-155880,2014-03-26,2014-04-01,Standard Class,JD-16150
2943,CA-2014-126242,2014-11-20,2014-11-25,Standard Class,MC-18100
2945,CA-2013-166443,2013-11-05,2013-11-06,First Class,LH-17020
2946,CA-2014-169859,2014-12-15,2014-12-19,Standard Class,MP-18175
2949,CA-2014-134915,2014-11-13,2014-11-13,Same Day,EM-14140
2955,CA-2013-153353,2013-08-19,2013-08-25,Standard Class,GG-14650
2956,CA-2014-123638,2014-06-28,2014-07-05,Standard Class,MA-17995
2957,CA-2014-168900,2014-05-05,2014-05-10,Standard Class,SH-20395
2958,CA-2012-158456,2012-12-24,2012-12-29,Standard Class,KT-16465
2960,CA-2014-143665,2014-04-27,2014-05-02,Standard Class,PO-19180
2962,CA-2014-137428,2014-12-17,2014-12-22,Second Class,AY-10555
2966,CA-2011-162866,2011-12-27,2011-12-31,Standard Class,Co-12640
2968,CA-2014-167941,2014-11-07,2014-11-10,Second Class,JF-15565
2973,CA-2014-111808,2014-12-17,2014-12-21,Standard Class,AR-10510
2974,CA-2012-137512,2012-05-07,2012-05-12,Standard Class,AG-10675
2976,CA-2014-139773,2014-12-05,2014-12-05,Same Day,DV-13045
2977,CA-2014-134607,2014-10-04,2014-10-09,Second Class,HL-15040
2978,CA-2011-109232,2011-01-14,2011-01-17,Second Class,ND-18370
2979,CA-2012-139850,2012-06-12,2012-06-17,Standard Class,GB-14575
2981,CA-2011-131310,2011-07-12,2011-07-18,Standard Class,CL-12565
2983,US-2011-112872,2011-12-06,2011-12-11,Second Class,RC-19960
2985,CA-2013-139269,2013-05-26,2013-05-31,Standard Class,JB-16045
2988,CA-2013-139010,2013-02-21,2013-02-26,Second Class,MC-17635
2992,CA-2013-134376,2013-10-03,2013-10-07,Standard Class,TT-21265
2993,CA-2014-147291,2014-03-12,2014-03-18,Standard Class,MJ-17740
2994,CA-2013-112893,2013-09-10,2013-09-14,Second Class,AT-10735
2995,US-2011-150532,2011-07-14,2011-07-21,Standard Class,PB-19150
2996,CA-2011-138317,2011-06-21,2011-06-25,Standard Class,NW-18400
3002,CA-2012-130610,2012-07-05,2012-07-10,Standard Class,VP-21730
3003,CA-2014-104381,2014-12-17,2014-12-24,Standard Class,RD-19810
3004,CA-2013-131499,2013-09-09,2013-09-11,First Class,MG-17875
3005,CA-2011-148761,2011-05-17,2011-05-21,Standard Class,PA-19060
3006,CA-2014-116519,2014-10-14,2014-10-16,First Class,CR-12730
3007,CA-2011-130729,2011-10-24,2011-10-29,Standard Class,AA-10375
3008,CA-2013-124772,2013-12-06,2013-12-07,First Class,JG-15160
3009,CA-2013-115525,2013-07-26,2013-07-30,Standard Class,RR-19525
3010,CA-2014-134845,2014-04-18,2014-04-24,Standard Class,SR-20425
3015,US-2012-138919,2012-09-17,2012-09-21,Standard Class,LS-16975
3016,US-2013-160528,2013-08-24,2013-08-31,Standard Class,MH-18115
3019,CA-2012-123568,2012-11-08,2012-11-14,Standard Class,SC-20095
3023,CA-2014-124674,2014-11-18,2014-11-24,Standard Class,JB-16000
3024,CA-2012-164441,2012-11-08,2012-11-13,Standard Class,AC-10450
3026,CA-2014-169054,2014-04-23,2014-04-27,Standard Class,MO-17800
3027,CA-2011-106719,2011-08-24,2011-08-24,Same Day,RB-19645
3028,CA-2014-116855,2014-12-18,2014-12-22,Standard Class,AI-10855
3029,US-2013-164189,2013-03-25,2013-03-29,Standard Class,DR-12880
3030,CA-2012-168480,2012-09-21,2012-09-27,Standard Class,DM-12955
3032,US-2013-114293,2013-11-22,2013-11-27,Standard Class,JH-16180
3033,CA-2014-134173,2014-09-17,2014-09-22,Standard Class,AB-10060
3034,US-2012-123960,2012-06-11,2012-06-16,Standard Class,BD-11605
3039,CA-2014-101749,2014-10-04,2014-10-09,Standard Class,AS-10045
3040,US-2013-147991,2013-05-06,2013-05-10,Standard Class,ZD-21925
3041,CA-2014-149559,2014-09-12,2014-09-13,Same Day,KF-16285
3044,CA-2012-135174,2012-04-30,2012-05-02,Second Class,BP-11230
3045,CA-2014-125290,2014-11-07,2014-11-11,Second Class,CC-12430
3047,CA-2011-137351,2011-09-30,2011-10-04,Standard Class,DB-13615
3048,CA-2014-121419,2014-04-03,2014-04-05,First Class,TC-21475
3050,US-2014-148054,2014-10-07,2014-10-12,Standard Class,NZ-18565
3053,CA-2013-128517,2013-04-10,2013-04-15,Second Class,SW-20350
3055,US-2012-100377,2012-08-28,2012-09-01,Standard Class,TS-21370
3056,CA-2014-131492,2014-10-20,2014-10-25,Second Class,HH-15010
3060,CA-2013-144554,2013-11-08,2013-11-13,Standard Class,DM-13345
3061,CA-2014-127621,2014-03-04,2014-03-08,Standard Class,RE-19450
3062,CA-2012-145184,2012-11-27,2012-11-29,First Class,JD-16150
3064,CA-2014-106859,2014-03-14,2014-03-19,Second Class,BF-11215
3069,US-2014-120089,2014-12-01,2014-12-01,Same Day,ML-17755
3070,CA-2011-119375,2011-11-17,2011-11-22,Standard Class,YC-21895
3073,CA-2013-125206,2013-01-03,2013-01-05,First Class,LR-16915
3074,CA-2012-126137,2012-10-03,2012-10-08,Standard Class,BS-11755
3075,CA-2011-143903,2011-07-20,2011-07-24,Standard Class,KM-16375
3078,CA-2011-104780,2011-05-21,2011-05-25,Standard Class,BT-11530
3079,CA-2014-101182,2014-09-05,2014-09-06,First Class,KB-16405
3081,US-2014-132297,2014-05-28,2014-06-03,Standard Class,DW-13480
3083,CA-2011-100328,2011-01-29,2011-02-04,Standard Class,JC-15340
3084,CA-2014-118773,2014-02-10,2014-02-15,Standard Class,TP-21415
3088,US-2014-159205,2014-04-01,2014-04-03,Second Class,DB-12910
3090,CA-2013-112123,2013-03-04,2013-03-09,Standard Class,BH-11710
3093,CA-2012-114468,2012-08-23,2012-08-23,Same Day,TD-20995
3097,CA-2014-135692,2014-04-28,2014-05-02,Standard Class,CV-12805
3099,CA-2014-131233,2014-04-15,2014-04-20,Standard Class,CS-12355
3101,CA-2014-119578,2014-12-23,2014-12-28,Second Class,JG-15310
3103,CA-2013-124562,2013-12-09,2013-12-13,Standard Class,JP-16135
3104,US-2014-140074,2014-03-24,2014-03-30,Standard Class,EC-14050
3105,CA-2013-103037,2013-07-26,2013-07-30,Standard Class,KH-16630
3106,CA-2014-127460,2014-07-11,2014-07-15,Standard Class,FG-14260
3107,CA-2013-121671,2013-07-18,2013-07-23,Standard Class,AA-10480
3112,CA-2013-150350,2013-08-24,2013-08-31,Standard Class,MS-17770
3118,CA-2012-121720,2012-06-11,2012-06-12,First Class,JE-15610
3126,CA-2014-149895,2014-09-09,2014-09-13,Standard Class,EB-14110
3127,CA-2014-147564,2014-10-03,2014-10-07,Standard Class,BP-11155
3128,CA-2011-136399,2011-12-16,2011-12-17,First Class,CC-12100
3132,CA-2011-107916,2011-08-24,2011-08-26,First Class,JP-15460
3134,CA-2014-164168,2014-11-13,2014-11-19,Standard Class,LS-16975
3140,CA-2012-112557,2012-04-25,2012-04-28,First Class,JL-15850
3141,US-2011-122959,2011-12-12,2011-12-12,Same Day,CY-12745
3142,CA-2014-162572,2014-09-26,2014-09-28,Second Class,RB-19360
3144,US-2013-148110,2013-09-06,2013-09-12,Standard Class,AR-10825
3145,CA-2014-131828,2014-02-12,2014-02-14,Second Class,CS-11845
3147,CA-2011-109218,2011-06-30,2011-07-03,Second Class,AR-10825
3148,CA-2013-120558,2013-06-08,2013-06-11,First Class,RD-19810
3149,US-2011-109036,2011-12-20,2011-12-25,Standard Class,KH-16510
3150,CA-2012-147830,2012-12-15,2012-12-18,First Class,NF-18385
3154,CA-2014-150497,2014-07-21,2014-07-25,Standard Class,SM-20950
3155,CA-2011-128986,2011-08-03,2011-08-05,Second Class,GH-14410
3156,CA-2012-139584,2012-08-24,2012-08-28,Standard Class,EM-13810
3158,US-2013-162677,2013-03-27,2013-03-28,First Class,DB-13210
3160,US-2011-150924,2011-09-12,2011-09-16,Second Class,PT-19090
3161,CA-2011-153969,2011-09-21,2011-09-25,Standard Class,HF-14995
3167,CA-2013-146682,2013-10-30,2013-11-01,First Class,KW-16435
3168,CA-2013-138695,2013-05-29,2013-06-04,Standard Class,KC-16675
3170,CA-2014-107461,2014-12-22,2014-12-27,Second Class,PK-19075
3171,US-2013-133879,2013-03-22,2013-03-29,Standard Class,KT-16465
3174,CA-2014-157483,2014-11-12,2014-11-19,Standard Class,EP-13915
3175,US-2014-132059,2014-09-24,2014-09-30,Standard Class,AP-10915
3177,CA-2014-122280,2014-09-11,2014-09-11,Same Day,SH-20395
3178,CA-2014-105235,2014-12-06,2014-12-12,Standard Class,SM-20950
3181,CA-2014-152912,2014-11-10,2014-11-13,Second Class,BM-11650
3185,CA-2011-123498,2011-11-07,2011-11-09,First Class,TC-20980
3187,CA-2014-159352,2014-03-13,2014-03-18,Standard Class,KB-16585
3188,US-2014-146416,2014-10-21,2014-10-23,Second Class,JE-16165
3190,US-2012-163783,2012-12-27,2013-01-01,Standard Class,DR-12940
3191,CA-2014-123981,2014-10-03,2014-10-09,Standard Class,RW-19630
3192,CA-2014-158953,2014-06-05,2014-06-09,Standard Class,ML-18040
3193,CA-2011-165428,2011-09-01,2011-09-04,First Class,JL-15130
3195,CA-2013-169026,2013-08-09,2013-08-14,Standard Class,CM-12655
3196,CA-2014-109750,2014-07-23,2014-07-29,Standard Class,FH-14365
3197,CA-2012-149384,2012-07-10,2012-07-10,Same Day,EH-13945
3198,CA-2011-131527,2011-12-01,2011-12-07,Standard Class,TB-21280
3199,CA-2014-164000,2014-12-19,2014-12-23,Standard Class,AH-10030
3200,CA-2011-164224,2011-05-18,2011-05-20,Second Class,TT-21070
3202,CA-2011-158372,2011-11-10,2011-11-16,Standard Class,RD-19900
3208,CA-2013-108882,2013-01-09,2013-01-15,Standard Class,LA-16780
3210,US-2014-108245,2014-09-23,2014-09-28,Standard Class,SH-19975
3212,CA-2011-142314,2011-12-23,2011-12-28,Standard Class,SF-20200
3213,CA-2013-132409,2013-05-27,2013-06-02,Standard Class,TH-21235
3215,CA-2014-150189,2014-07-09,2014-07-11,First Class,VG-21790
3216,CA-2011-114433,2011-05-13,2011-05-17,Standard Class,NP-18325
3217,CA-2014-104640,2014-11-11,2014-11-17,Standard Class,FH-14275
3219,US-2012-137008,2012-10-02,2012-10-08,Standard Class,JP-15460
3222,CA-2011-108189,2011-10-02,2011-10-05,First Class,ES-14080
3229,CA-2011-154641,2011-08-11,2011-08-16,Standard Class,KL-16645
3230,CA-2014-131625,2014-09-02,2014-09-06,Second Class,BN-11515
3231,US-2014-156356,2014-04-17,2014-04-23,Standard Class,ND-18370
3234,CA-2013-138933,2013-04-25,2013-04-28,First Class,JL-15130
3235,CA-2013-140746,2013-01-15,2013-01-15,Same Day,RC-19825
3236,CA-2013-146836,2013-05-03,2013-05-03,Same Day,CC-12475
3238,US-2013-127971,2013-11-21,2013-11-28,Standard Class,DW-13195
3241,US-2013-140809,2013-02-01,2013-02-03,First Class,CK-12760
3242,CA-2014-114524,2014-04-01,2014-04-06,Second Class,EG-13900
3243,CA-2014-113355,2014-12-02,2014-12-06,Standard Class,SJ-20215
3245,US-2014-140907,2014-12-11,2014-12-13,Second Class,BP-11185
3248,CA-2013-159730,2013-09-18,2013-09-22,Standard Class,SJ-20125
3250,CA-2013-157868,2013-12-24,2013-12-30,Standard Class,MC-17590
3251,CA-2014-119389,2014-04-18,2014-04-20,First Class,BG-11740
3252,CA-2014-110373,2014-10-28,2014-10-31,Second Class,MA-17560
3254,CA-2013-155474,2013-07-09,2013-07-15,Standard Class,CC-12220
3256,CA-2012-155453,2012-08-09,2012-08-14,Standard Class,RA-19885
3257,US-2013-161844,2013-12-10,2013-12-15,Second Class,DK-12835
3259,US-2013-162103,2013-11-14,2013-11-18,Standard Class,LB-16795
3260,CA-2011-151554,2011-11-14,2011-11-15,First Class,CM-11815
3261,CA-2011-140662,2011-11-17,2011-11-19,First Class,TS-21205
3264,CA-2013-122518,2013-03-05,2013-03-09,Second Class,RF-19345
3265,US-2011-126571,2011-10-11,2011-10-15,Standard Class,JF-15565
3267,CA-2011-143840,2011-05-22,2011-05-29,Standard Class,EH-14185
3269,CA-2011-115980,2011-07-15,2011-07-19,Standard Class,VW-21775
3271,CA-2012-155145,2012-12-27,2012-12-29,Second Class,KN-16450
3272,CA-2012-146038,2012-02-09,2012-02-16,Standard Class,SJ-20215
3273,CA-2014-133865,2014-05-09,2014-05-13,Standard Class,PS-19045
3274,CA-2014-116358,2014-11-03,2014-11-07,Standard Class,KM-16225
3276,CA-2011-102988,2011-04-05,2011-04-09,Second Class,GM-14695
3281,US-2011-117170,2011-09-17,2011-09-24,Standard Class,KT-16465
3283,CA-2011-159478,2011-09-30,2011-10-06,Standard Class,MH-17785
3284,CA-2011-103702,2011-09-12,2011-09-17,Standard Class,AF-10885
3285,CA-2014-150525,2014-02-21,2014-02-26,Standard Class,JP-16135
3287,CA-2012-157770,2012-12-13,2012-12-15,First Class,RD-19585
3291,CA-2013-167290,2013-10-31,2013-11-05,Standard Class,JF-15295
3292,CA-2011-106264,2011-12-26,2011-12-30,Standard Class,CK-12595
3294,CA-2011-138023,2011-08-15,2011-08-18,First Class,KH-16510
3295,CA-2014-113418,2014-10-02,2014-10-04,First Class,CM-12655
3296,US-2012-110569,2012-05-23,2012-05-30,Standard Class,EB-13870
3298,CA-2014-136308,2014-11-17,2014-11-17,Same Day,MW-18235
3299,US-2011-159926,2011-11-18,2011-11-22,Standard Class,CS-11950
3304,CA-2011-104738,2011-12-30,2012-01-01,Second Class,SP-20620
3309,CA-2012-144386,2012-11-05,2012-11-11,Standard Class,GT-14635
3310,CA-2013-111416,2013-09-18,2013-09-23,Standard Class,LW-17215
3311,CA-2013-162747,2013-03-21,2013-03-26,Second Class,AH-10030
3312,US-2011-133130,2011-09-27,2011-10-01,Standard Class,TH-21100
3314,CA-2014-169978,2014-12-25,2014-12-29,Standard Class,HG-15025
3316,CA-2014-161739,2014-11-11,2014-11-16,Second Class,EB-13750
3317,CA-2012-165057,2012-09-11,2012-09-15,Standard Class,SC-20725
3319,CA-2011-134551,2011-12-20,2011-12-25,Standard Class,TS-21505
3322,CA-2012-120810,2012-07-23,2012-07-27,Standard Class,TH-21550
3324,CA-2011-165309,2011-11-11,2011-11-15,Standard Class,KD-16270
3331,CA-2014-122595,2014-12-15,2014-12-21,Standard Class,GM-14455
3334,US-2014-109253,2014-08-22,2014-08-23,First Class,PR-18880
3341,CA-2013-145982,2013-08-28,2013-09-02,Second Class,TB-21055
3347,CA-2012-112011,2012-08-13,2012-08-20,Standard Class,ON-18715
3348,CA-2014-154732,2014-11-06,2014-11-08,First Class,AH-10195
3349,US-2013-157308,2013-08-18,2013-08-22,Standard Class,NM-18520
3350,CA-2013-147536,2013-12-27,2014-01-01,Standard Class,AR-10510
3351,US-2011-134733,2011-09-23,2011-09-28,Standard Class,BM-11650
3353,US-2011-150434,2011-07-19,2011-07-24,Standard Class,CA-12310
3357,CA-2014-100335,2014-09-08,2014-09-14,Standard Class,NF-18595
3358,CA-2013-139234,2013-05-07,2013-05-11,Standard Class,AF-10870
3360,US-2012-142020,2012-06-04,2012-06-08,Second Class,TC-21535
3362,CA-2012-139962,2012-12-13,2012-12-20,Standard Class,Dp-13240
3364,CA-2013-130050,2013-07-17,2013-07-19,Second Class,MC-17425
3365,CA-2011-115161,2011-02-01,2011-02-03,First Class,LC-17050
3366,CA-2011-165379,2011-07-09,2011-07-15,Standard Class,BM-11650
3368,CA-2012-115511,2012-11-21,2012-11-25,Standard Class,NW-18400
3370,CA-2013-134887,2013-03-26,2013-03-26,Same Day,TB-21280
3371,CA-2014-123778,2014-09-24,2014-10-01,Standard Class,BS-11755
3373,CA-2012-161718,2012-12-04,2012-12-10,Standard Class,SO-20335
3377,CA-2013-100671,2013-11-02,2013-11-05,First Class,CS-12490
3378,CA-2014-142867,2014-03-18,2014-03-22,Standard Class,PO-19180
3380,CA-2014-103156,2014-11-24,2014-11-25,First Class,TD-20995
3381,US-2014-162208,2014-08-28,2014-08-31,First Class,SP-20620
3382,CA-2012-130659,2012-12-04,2012-12-09,Second Class,MS-17365
3385,CA-2014-148404,2014-10-08,2014-10-12,Standard Class,Dp-13240
3390,CA-2014-101077,2014-03-26,2014-03-31,Second Class,DB-13660
3391,CA-2011-166471,2011-08-09,2011-08-13,Standard Class,MG-17650
3393,CA-2011-105340,2011-11-22,2011-11-25,First Class,EH-14185
3394,US-2014-131583,2014-06-11,2014-06-11,Same Day,CL-11890
3395,US-2014-148362,2014-07-02,2014-07-09,Standard Class,KF-16285
3398,CA-2011-102274,2011-11-21,2011-11-26,Standard Class,DH-13075
3402,CA-2012-129700,2012-05-04,2012-05-05,First Class,LA-16780
3403,CA-2014-168739,2014-05-30,2014-06-06,Standard Class,HZ-14950
3404,CA-2012-152527,2012-10-17,2012-10-17,Same Day,CM-12190
3405,US-2011-150119,2011-04-23,2011-04-27,Standard Class,LB-16795
3409,US-2014-150847,2014-05-01,2014-05-07,Standard Class,JF-15490
3410,CA-2013-100244,2013-09-21,2013-09-25,Standard Class,GM-14695
3415,CA-2013-116540,2013-09-03,2013-09-03,Same Day,SS-20590
3417,CA-2012-151841,2012-04-27,2012-05-02,Standard Class,TC-21475
3419,CA-2012-150791,2012-09-06,2012-09-13,Standard Class,CC-12430
3420,CA-2013-134803,2013-05-29,2013-06-04,Standard Class,CL-12565
3425,CA-2012-153381,2012-09-24,2012-09-28,Standard Class,DE-13255
3427,US-2014-111024,2014-07-04,2014-07-07,Second Class,SZ-20035
3430,CA-2014-148264,2014-12-09,2014-12-10,First Class,LF-17185
3433,CA-2014-131212,2014-12-06,2014-12-10,Standard Class,AB-10165
3435,US-2012-100531,2012-09-27,2012-09-29,First Class,NM-18520
3437,CA-2014-152583,2014-10-31,2014-10-31,Same Day,RA-19945
3440,CA-2012-144099,2012-11-29,2012-11-30,Same Day,PO-19195
3441,CA-2011-158337,2011-03-11,2011-03-14,Second Class,KA-16525
3442,CA-2014-168858,2014-11-20,2014-11-24,Standard Class,JD-16150
3444,CA-2013-116344,2013-07-30,2013-08-03,Standard Class,JO-15145
3445,CA-2012-131779,2012-06-12,2012-06-17,Standard Class,LE-16810
3446,CA-2013-158869,2013-08-07,2013-08-08,First Class,AH-10690
3447,CA-2014-102554,2014-06-12,2014-06-16,Standard Class,KN-16705
3448,CA-2013-162614,2013-10-08,2013-10-14,Standard Class,TB-21250
3449,CA-2011-168592,2011-09-08,2011-09-14,Standard Class,DP-13390
3452,CA-2011-157609,2011-03-16,2011-03-21,Second Class,KN-16705
3453,CA-2012-153325,2012-02-29,2012-03-02,Second Class,ST-20530
3454,CA-2012-153626,2012-07-09,2012-07-14,Standard Class,EB-13870
3455,CA-2013-166485,2013-02-20,2013-02-27,Standard Class,AH-10210
3456,CA-2014-136448,2014-09-17,2014-09-19,First Class,AS-10090
3461,CA-2014-114258,2014-11-06,2014-11-11,Second Class,EM-13825
3462,CA-2012-152611,2012-02-20,2012-02-23,Second Class,KA-16525
3463,CA-2013-165470,2013-11-26,2013-12-01,Standard Class,HJ-14875
3464,CA-2014-128699,2014-12-04,2014-12-06,Second Class,ND-18370
3465,US-2012-147242,2012-09-10,2012-09-14,Standard Class,EH-13765
3468,CA-2013-146143,2013-12-15,2013-12-20,Standard Class,MC-17845
3469,CA-2012-100888,2012-04-06,2012-04-10,Standard Class,MH-17455
3470,US-2013-150035,2013-12-02,2013-12-06,Standard Class,CL-11890
3471,CA-2014-122644,2014-11-13,2014-11-18,Standard Class,SF-20965
3473,CA-2014-111815,2014-03-04,2014-03-11,Standard Class,EP-13915
3475,CA-2013-144911,2013-11-28,2013-12-01,First Class,RW-19630
3477,CA-2011-143385,2011-08-31,2011-09-05,Standard Class,SJ-20500
3478,CA-2013-131289,2013-12-09,2013-12-15,Standard Class,SP-20620
3481,CA-2011-124023,2011-04-07,2011-04-10,First Class,PJ-19015
3482,CA-2011-124688,2011-08-27,2011-08-29,First Class,CC-12610
3485,CA-2013-151169,2013-10-22,2013-10-27,Standard Class,MY-18295
